"Timestamp","Bu formu hangi dilde doldurmak istersiniz?
Which language would you like to complete this form in?","1- Please select the name of your department or major. (If you have a double major, please select your main department.)","2-Are you currently enrolled in a double major or minor program?","3- What is your current year of study?","4- Please indicate your age group.","5- Which of the following best describes your gender identity?","6- Please indicate your current cumulative GPA (on a 4.00 scale).","7- Are you currently employed, interning, or working freelance?","8-I believe my university education adequately prepares me for employment. (1 = Strongly disagree → 5 = Strongly agree)","9- I am satisfied with the career support and resources provided by my university. (1 = Strongly disagree → 5 = Strongly agree)","10- I feel confident in my technical and professional skills (e.g., programming, communication, teamwork).","11- How often do you participate in skill-building activities (courses, workshops, certificates, competitions)?","12- How active are you in building your professional network (career events, LinkedIn, mentorship, etc.)?","13- After completing your degree, what is your primary plan?","14- How confident are you that this gap year will benefit your future career or education?","15- What do you plan to do during your gap year?","14- How do you plan to finance your business?","15- In which sector are you planning to build your business? (Select all options that apply.)","14- How confident are you in finding a job within 6 months after graduation?","15- Do you plan to work in a field directly related to your major?","14- What is your main reason for wanting to pursue a Master’s or PhD degree?","15- What is the most important criteria for you when choosing a graduate program?","14- How certain are you about this plan? (1 = Not certain / 5 = Very certain)","15-When do you expect to start implementing this plan?","16- Where would you ideally like to work five years from now?","17- What is your expected net monthly salary for your first full-time job (in TL)? Please specify an approximate range.","18- Which working style do you prefer for your future job?","19- Financial security is the single most important aspect when choosing my first job (1 = Strongly disagree → 5 = Strongly agree)","20- I expect to stay at my first job for less than three years.","21- I believe my diploma alone will be enough for me to find a good job. (1 = Strongly disagree → 5 = Strongly agree)","22- I think I might need a second job to maintain a decent standard of living. (1 = Strongly disagree → 5 = Strongly agree)","23- Having flexibility (remote work, flexible hours) is a priority for me in a job. (1 = Strongly disagree → 5 = Strongly agree)","24- I am open to considering work opportunities abroad. (1 = Strongly disagree → 5 = Strongly agree)","25- I think work–life balance is more important than career prestige. (1 = Strongly disagree → 5 = Strongly agree)","26- I would accept a lower salary for a job that aligns with my values. (1 = Strongly disagree → 5 = Strongly agree)","27- I believe I need to work more than 40 hours a week to earn a high salary. (1 = Strongly disagree → 5 = Strongly agree)","28- I believe my long-term career success depends more on luck than on hard work. (1 = Strongly disagree → 5 = Strongly agree)","29-  Please order the following from 1 (most important) to 5 (least important) according to your priorities. Each number can be used only once. [Work–life balance]","29-  Please order the following from 1 (most important) to 5 (least important) according to your priorities. Each number can be used only once. [ High salary & benefits]","29-  Please order the following from 1 (most important) to 5 (least important) according to your priorities. Each number can be used only once. [ Meaningful work (positive social impact)]","29-  Please order the following from 1 (most important) to 5 (least important) according to your priorities. Each number can be used only once. [ Career stability]","29-  Please order the following from 1 (most important) to 5 (least important) according to your priorities. Each number can be used only once. [ Autonomy & independence]"
2025-11-04 09:16:39.949,"İngilizce-English","International Relations","No","3rd year","18–20","Female","3.51–4.0","No",3,3,4,"Sometimes","Rarely active","Pursue a Master’s or PhD",NA,NA,NA,NA,NA,NA,"To gain a competitive advantage in the job market","Location (country / city)",NA,NA,"In Türkiye – international firm","< 30,000","Hybrid",2,3,3,1,5,1,5,5,1,4,"1  (Most important)","4.0","3.0","5  (Least important)","2.0"
2025-11-04 10:48:09.313,"İngilizce-English","Computer Education and Instructional Technology","No","Graduated","24 and over","Male","3.51–4.0","Yes, part-time",2,1,5,"Sometimes","Somewhat active","Pursue a Master’s or PhD",NA,NA,NA,NA,NA,NA,"Academic career goal (research or teaching position)","Advisor quality",NA,NA,"Abroad","50,000–69,999","Hybrid",1,5,1,2,2,4,4,4,1,1,"4.0","5  (Least important)","1  (Most important)","2.0","3.0"
2025-11-04 10:54:42.476,"İngilizce-English","Electrical and Electronics Engineering","No","Masters","21–23","Non-binary","3.51–4.0","No",5,4,4,"Sometimes","Rarely active","Pursue a Master’s or PhD",NA,NA,NA,NA,NA,NA,"Academic career goal (research or teaching position)","Advisor quality",NA,NA,"I don’t know","70,000–99,999","Hybrid",2,3,2,2,3,3,5,5,1,4,"3.0","5  (Least important)","1  (Most important)","4.0","2.0"
2025-11-04 14:28:34,"İngilizce-English","Business Administration","No","4th year","24 and over","Male","2.51–3.0","No",3,2,3,"Rarely","Not active at all","Start your own business",NA,NA,"Personal savings","Technology / Software, Food / Tourism / Retail, Agriculte, Marketing",NA,NA,NA,NA,NA,NA,"Abroad","30,000–49,999","Hybrid",4,3,2,5,5,5,5,3,4,4,"4.0","1  (Most important)","5  (Least important)","3.0","2.0"
2025-11-04 14:32:01.573,"İngilizce-English","Electrical and Electronics Engineering","Yes, a minor","3rd year","21–23","Male","3.51–4.0","No",3,2,4,"Often","Somewhat active","Seek full-time employment",NA,NA,NA,NA,5,"Yes",NA,NA,NA,NA,"Abroad","70,000–99,999","Hybrid",5,3,3,1,4,5,5,3,3,3,"2.0","1  (Most important)","5  (Least important)","3.0","4.0"
2025-11-04 14:39:57.384,"İngilizce-English","Mechanical Engineering","Yes, a double major","2nd year","18–20","Male","3.51–4.0","No",3,2,2,"Sometimes","Often active","Pursue a Master’s or PhD",NA,NA,NA,NA,NA,NA,"To gain international experience","Scholarship or financial support opportunities",NA,NA,"Abroad","70,000–99,999","Hybrid",2,5,3,1,3,5,5,5,2,4,"2.0","3.0","4.0","5  (Least important)","1  (Most important)"
2025-11-04 14:41:14.695,"İngilizce-English","Metallurgical and Materials Engineering","No","2nd year","18–20","Male","2.51–3.0","No",4,4,3,"Rarely","Not active at all","Seek full-time employment",NA,NA,NA,NA,3,"Yes",NA,NA,NA,NA,"Abroad","100,000+","Hybrid",4,1,3,1,4,5,5,1,4,4,"2.0","1  (Most important)","5  (Least important)","3.0","4.0"
2025-11-05 00:44:19.837,"İngilizce-English","Statistics","No","3rd year","21–23","Female","2.01–2.5","Yes, part-time",4,3,4,"Rarely","Rarely active","Seek full-time employment",NA,NA,NA,NA,4,"Probably yes",NA,NA,NA,NA,"In Türkiye – international firm","70,000–99,999","Hybrid",4,1,4,1,3,5,3,2,2,3,"2.0","1  (Most important)","4.0","5  (Least important)","3.0"
2025-11-05 00:45:47.175,"İngilizce-English","Statistics","No","3rd year","21–23","Female","3.01–3.5","No",4,4,4,"Never","Somewhat active","Pursue a Master’s or PhD",NA,NA,NA,NA,NA,NA,"Academic career goal (research or teaching position)","University reputation",NA,NA,"Abroad","70,000–99,999","Hybrid",5,2,3,1,2,5,3,1,1,2,"3.0","1  (Most important)","2.0","4.0","5  (Least important)"
2025-11-05 18:31:51.127,"İngilizce-English","Mechanical Engineering","No","Master's 2nd Year","24 and over","Male","2.51–3.0","Yes, full-time",4,4,4,"Rarely","Rarely active","Seek my next job in Europe",NA,NA,NA,NA,NA,NA,NA,NA,5,"Immediately after graduation","Abroad","100,000+","Fully remote",4,2,4,1,3,5,3,3,2,4,"2.0","1  (Most important)","5  (Least important)","3.0","4.0"
2025-11-05 18:58:21.203,"İngilizce-English","Aerospace Engineering","No","1st year","18–20","Male","3.01–3.5","No",4,4,3,"Sometimes","Rarely active","Seek full-time employment",NA,NA,NA,NA,3,"Yes",NA,NA,NA,NA,"In Türkiye – local company","70,000–99,999","Hybrid",4,4,3,3,3,5,4,2,4,3,"1  (Most important)","2.0","5  (Least important)","3.0","4.0"
2025-11-06 10:11:34.358,"İngilizce-English","Civil Engineering","No","1st year","18–20","Male","2.01–2.5","No",4,4,4,"Rarely","Not active at all","Pursue a Master’s or PhD",NA,NA,NA,NA,NA,NA,"Academic career goal (research or teaching position)","University reputation",NA,NA,"I don’t know","50,000–69,999","Hybrid",3,3,1,1,2,5,4,3,3,4,"3.0","2.0","4.0","5  (Least important)","1  (Most important)"
2025-11-06 11:08:50.452,"İngilizce-English","Mechanical Engineering","No","1st year","Under 18","Male","3.51–4.0","No",3,4,5,"Often","Rarely active","Pursue a Master’s or PhD",NA,NA,NA,NA,NA,NA,"To gain a competitive advantage in the job market","University reputation",NA,NA,"Abroad","30,000–49,999","Hybrid",2,3,1,3,2,5,5,5,2,4,"2.0","1  (Most important)","5  (Least important)","3.0","4.0"
2025-11-06 12:47:20.607,"İngilizce-English","Metallurgical and Materials Engineering","No","4th year","21–23","Male","3.51–4.0","No",3,2,4,"Often","Somewhat active","Pursue a Master’s or PhD",NA,NA,NA,NA,NA,NA,"To gain a competitive advantage in the job market","University reputation",NA,NA,"Abroad","50,000–69,999","Hybrid",4,4,3,2,2,5,3,3,4,2,"1  (Most important)","2.0","4.0","3.0","5  (Least important)"
2025-11-07 13:26:40.383,"İngilizce-English","Chemistry","No","3rd year","21–23","Female","2.01–2.5","No",4,3,5,"Very often","Somewhat active","Pursue a Master’s or PhD",NA,NA,NA,NA,NA,NA,"To gain in-depth knowledge of my field","Advisor quality",NA,NA,"Abroad","Prefer not to say","Hybrid",5,5,4,4,5,5,4,4,3,5,"1  (Most important)","3.0","4.0","5  (Least important)","2.0"
2025-11-10 12:07:06.403,"İngilizce-English","Computer Engineering","No","4th year","24 and over","Male","2.01–2.5","No",2,3,5,"Never","Not active at all","Pursue a Master’s or PhD",NA,NA,NA,NA,NA,NA,"To gain in-depth knowledge of my field","i didnt choose",NA,NA,"Abroad","50,000–69,999","In-office",3,3,3,1,5,5,5,5,2,2,"5  (Least important)","4.0","1  (Most important)","2.0","3.0"
2025-11-10 13:19:33.232,"İngilizce-English","Civil Engineering","No","4th year","21–23","Male","2.51–3.0","No",5,4,5,"Very often","Very active","Start your own business",NA,NA,"Personal savings","Manufacturing / Engineering",NA,NA,NA,NA,NA,NA,"Abroad","50,000–69,999","Hybrid",4,4,3,2,4,5,4,5,2,5,"1  (Most important)","2.0","5  (Least important)","4.0","3.0"
2025-12-03 14:18:38.264,"İngilizce-English","Aerospace Engineering","No","1st year","18–20","Male","3.51–4.0","No",4,2,3,"Rarely","Not active at all","Seek full-time employment",NA,NA,NA,NA,3,"Probably yes",NA,NA,NA,NA,"Abroad","70,000–99,999","Hybrid",3,3,2,2,4,5,4,2,3,3,"5  (Least important)","3.0","1  (Most important)","4.0","2.0"
