"Timestamp","Bu formu hangi dilde doldurmak istersiniz?
Which language would you like to complete this form in?","1- Please select the name of your department or major. (If you have a double major, please select your main department.)","2-Are you currently enrolled in a double major or minor program?","3- What is your current year of study?","4- Please indicate your age group.","5- Which of the following best describes your gender identity?","6- Please indicate your current cumulative GPA (on a 4.00 scale).","7- Are you currently employed, interning, or working freelance?","8-I believe my university education adequately prepares me for employment. (1 = Strongly disagree → 5 = Strongly agree)","9- I am satisfied with the career support and resources provided by my university. (1 = Strongly disagree → 5 = Strongly agree)","10- I feel confident in my technical and professional skills (e.g., programming, communication, teamwork).","11- How often do you participate in skill-building activities (courses, workshops, certificates, competitions)?","12- How active are you in building your professional network (career events, LinkedIn, mentorship, etc.)?","13- After completing your degree, what is your primary plan?","14- How confident are you that this gap year will benefit your future career or education?","15- What do you plan to do during your gap year?","14- How do you plan to finance your business?","15- In which sector are you planning to build your business? (Select all options that apply.)","14- How confident are you in finding a job within 6 months after graduation?","15- Do you plan to work in a field directly related to your major?","14- What is your main reason for wanting to pursue a Master’s or PhD degree?","15- What is the most important criteria for you when choosing a graduate program?","14- How certain are you about this plan? (1 = Not certain / 5 = Very certain)","15-When do you expect to start implementing this plan?","16- Where would you ideally like to work five years from now?","17- What is your expected net monthly salary for your first full-time job (in TL)? Please specify an approximate range.","18- Which working style do you prefer for your future job?","19- Financial security is the single most important aspect when choosing my first job (1 = Strongly disagree → 5 = Strongly agree)","20- I expect to stay at my first job for less than three years.","21- I believe my diploma alone will be enough for me to find a good job. (1 = Strongly disagree → 5 = Strongly agree)","22- I think I might need a second job to maintain a decent standard of living. (1 = Strongly disagree → 5 = Strongly agree)","23- Having flexibility (remote work, flexible hours) is a priority for me in a job. (1 = Strongly disagree → 5 = Strongly agree)","24- I am open to considering work opportunities abroad. (1 = Strongly disagree → 5 = Strongly agree)","25- I think work–life balance is more important than career prestige. (1 = Strongly disagree → 5 = Strongly agree)","26- I would accept a lower salary for a job that aligns with my values. (1 = Strongly disagree → 5 = Strongly agree)","27- I believe I need to work more than 40 hours a week to earn a high salary. (1 = Strongly disagree → 5 = Strongly agree)","28- I believe my long-term career success depends more on luck than on hard work. (1 = Strongly disagree → 5 = Strongly agree)","29-  Please order the following from 1 (most important) to 5 (least important) according to your priorities. Each number can be used only once. [Work–life balance]","29-  Please order the following from 1 (most important) to 5 (least important) according to your priorities. Each number can be used only once. [ High salary & benefits]","29-  Please order the following from 1 (most important) to 5 (least important) according to your priorities. Each number can be used only once. [ Meaningful work (positive social impact)]","29-  Please order the following from 1 (most important) to 5 (least important) according to your priorities. Each number can be used only once. [ Career stability]","29-  Please order the following from 1 (most important) to 5 (least important) according to your priorities. Each number can be used only once. [ Autonomy & independence]"
1762186095.757,"Türkçe -Turkish","Mathematics","No","4th year","24 and over","Male","3.01–3.5","Yes, as an intern",3,3,3,"Often","Somewhat active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"Şahsi tatmin","University reputation",NA,NA,"I don't know","30.000–49.999","Fully remote",3,5,2,3,4,4,5,4,3,4,"1 (Most important)","2.0","5 (Least important)","3.0","4.0"
1762187000.262,"Türkçe -Turkish","Civil Engineering","No","3rd year","21–23","Male","3.01–3.5","No",4,4,4,"Never","Rarely active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"To gain a competitive advantage in the job market","University reputation",NA,NA,"In Turkey – international company","50.000–69.999","Hybrid",3,4,2,2,5,5,4,3,3,3,"3.0","1 (Most important)","4.0","2.0","5 (Least important)"
1762187989.537,"Türkçe -Turkish","Mathematics","No","3rd year","21–23","Female","3.51–4.0","No",2,2,3,"Sometimes","Not active at all","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"Academic career goal","University reputation",NA,NA,"Abroad","30.000–49.999","In-office",3,3,3,2,4,5,4,4,2,3,"3.0","4.0","2.0","5 (Least important)","1 (Most important)"
1762188020.557,"Türkçe -Turkish","Computer Engineering","No","1st year","18–20","Male","3.01–3.5","No",1,3,3,"Rarely","Not active at all","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"To gain in-depth knowledge of my field","Location (country / city)",NA,NA,"I don't know","Prefer not to say","Hybrid",2,2,4,3,4,2,2,3,2,4,"4.0","3.0","5 (Least important)","2.0","1 (Most important)"
1762188047.315,"Türkçe -Turkish","Physics","No","3rd year","21–23","Male","2.51–3.0","No",3,2,2,"Rarely","Not active at all","Start a full-time job",NA,NA,NA,NA,3,"Yes",NA,NA,NA,NA,"I don't know","30.000–49.999","Hybrid",2,3,2,2,4,4,4,5,2,2,"1 (Most important)","3.0","2.0","4.0","5 (Least important)"
1762188306.723,"Türkçe -Turkish","Computer Engineering","No","3rd year","21–23","Male","3.01–3.5","No",5,5,5,"Rarely","Somewhat active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"To gain experience abroad","University reputation",NA,NA,"Abroad","70.000–99.999","Hybrid",5,4,3,2,5,5,5,3,5,4,"3.0","1 (Most important)","4.0","2.0","5 (Least important)"
1762188335.818,"Türkçe -Turkish","Food Engineering","No","1st year","21–23","Male","0–2.0","No",3,4,4,"Sometimes","Active","Start my own business",NA,NA,"Not sure yet","Food / Tourism / Retail",NA,NA,NA,NA,NA,NA,"Own business","30.000–49.999","Hybrid",4,3,1,2,3,5,3,2,3,3,"4.0","5 (Least important)","1 (Most important)","3.0","2.0"
1762188712.863,"Türkçe -Turkish","Computer Engineering","No","1st year","18–20","Male","3.51–4.0","No",2,4,2,"Sometimes","Not active at all","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"To gain experience abroad","University reputation",NA,NA,"In Turkey – international company","50.000–69.999","Hybrid",4,5,2,2,4,4,4,3,3,4,"4.0","3.0","1 (Most important)","5 (Least important)","2.0"
1762188716.81,"Türkçe -Turkish","Computer Engineering","No","3rd year","21–23","Female","3.51–4.0","Yes, part-time",2,1,3,"Rarely","Somewhat active","Take a gap year",1,"Travel / cultural exchange",NA,NA,NA,NA,NA,NA,NA,NA,"Abroad","70.000–99.999","Hybrid",3,5,1,1,4,5,5,2,1,3,"1 (Most important)","3.0","5 (Least important)","4.0","2.0"
1762188775.883,"Türkçe -Turkish","Computer Engineering","No","3rd year","21–23","Female","2.51–3.0","No",3,3,3,"Sometimes","Rarely active","Start a full-time job",NA,NA,NA,NA,4,"Yes",NA,NA,NA,NA,"Abroad","100.000+","In-office",4,4,3,2,5,5,5,5,5,5,"5 (Least important)","3.0","2.0","4.0","1 (Most important)"
1762188833.466,"Türkçe -Turkish","Computer Engineering","No","2nd year","18–20","Male","3.01–3.5","No",2,1,2,"Sometimes","Somewhat active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"To gain in-depth knowledge of my field","Hepsi",NA,NA,"Abroad","70.000–99.999","Hybrid",4,4,2,1,2,4,3,3,3,4,"3.0","4.0","2.0","1 (Most important)","5 (Least important)"
1762189256.032,"Türkçe -Turkish","City and Regional Planning","Yes, minor","1st year","Under 18","Female","2.01–2.5","Yes, part-time",2,1,5,"Rarely","Rarely active","Start my own business",NA,NA,"Personal savings","Education / Training",NA,NA,NA,NA,NA,NA,"In Turkey – local company","30.000–49.999","In-office",2,4,2,4,2,1,5,1,4,3,"1 (Most important)","2.0","3.0","5 (Least important)","4.0"
1762189636.63,"Türkçe -Turkish","History","No","3rd year","21–23","Female","2.51–3.0","No",2,3,3,"Never","Not active at all","Start a full-time job",NA,NA,NA,NA,3,"Probably no",NA,NA,NA,NA,"I don't know","30.000–49.999","Hybrid",4,2,2,1,4,3,4,2,3,3,"5 (Least important)","3.0","1 (Most important)","4.0","2.0"
1762191098.328,"Türkçe -Turkish","Mathematics","Yes, minor","3rd year","21–23","Male","2.51–3.0","No",4,2,4,"Sometimes","Rarely active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"Academic career goal","University reputation",NA,NA,"Abroad","100.000+","Hybrid",2,2,1,4,5,5,1,4,4,3,"3.0","5 (Least important)","2.0","4.0","1 (Most important)"
1762191212.578,"Türkçe -Turkish","History","No","2nd year","21–23","Female","2.51–3.0","No",2,3,4,"Rarely","Not active at all","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"Academic career goal","Job opportunities",NA,NA,"In Turkey – international company","Prefer not to say","Hybrid",4,3,1,3,3,5,3,3,3,2,"4.0","5 (Least important)","3.0","1 (Most important)","2.0"
1762191294.295,"Türkçe -Turkish","Economics","No","3rd year","21–23","Male","2.01–2.5","No",2,2,3,"Sometimes","Very active","Start a full-time job",NA,NA,NA,NA,5,"Yes",NA,NA,NA,NA,"In Turkey – international company","70.000–99.999","Hybrid",4,4,2,1,5,5,4,3,4,1,"2.0","1 (Most important)","5 (Least important)","3.0","4.0"
1762191897.407,"Türkçe -Turkish","Electrical and Electronics Engineering","No","2nd year","21–23","Male","3.51–4.0","No",2,3,4,"Never","Rarely active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"To gain in-depth knowledge of my field","University reputation",NA,NA,"Abroad","70.000–99.999","Hybrid",4,3,4,1,4,5,5,3,2,2,"2.0","3.0","5 (Least important)","4.0","1 (Most important)"
1762195715.666,"Türkçe -Turkish","History","No","3rd year","18–20","Female","3.01–3.5","No",4,1,5,"Rarely","Rarely active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"Academic career goal","University reputation",NA,NA,"In Turkey – local company","<30.000","In-office",4,3,2,2,1,1,4,2,3,1,"4.0","2.0","3.0","1 (Most important)","5 (Least important)"
1762195797.572,"Türkçe -Turkish","History","No","3rd year","21–23","Female","3.51–4.0","No",3,3,5,"Sometimes","Somewhat active","Not sure",NA,NA,NA,NA,NA,NA,NA,NA,3,"Not sure yet","Own business","70.000–99.999","In-office",3,2,3,2,2,3,2,3,2,3,"1 (Most important)","3.0","2.0","4.0","5 (Least important)"
1762196078.336,"Türkçe -Turkish","Molecular Biology and Genetics","No","Graduated","24 and over","Female","3.01–3.5","Yes, part-time",2,2,4,"Rarely","Somewhat active","Take a gap year",4,"Yukarıdakilerin hepsini yapıyorum",NA,NA,NA,NA,NA,NA,NA,NA,"Abroad","30.000–49.999","In-office",4,2,2,4,4,5,4,3,4,2,"1 (Most important)","2.0","4.0","3.0","5 (Least important)"
1762196205.025,"Türkçe -Turkish","Political Science and Public Administration","Yes, minor","3rd year","21–23","Female","3.51–4.0","No",1,1,3,"Often","Rarely active","Start a full-time job",NA,NA,NA,NA,4,"No",NA,NA,NA,NA,"In Turkey – international company","50.000–69.999","Hybrid",3,3,1,1,4,2,4,2,3,5,"5 (Least important)","4.0","1 (Most important)","2.0","3.0"
1762196285.264,"Türkçe -Turkish","Industrial Engineering","No","4th year","21–23","Female","3.01–3.5","No",3,3,4,"Sometimes","Somewhat active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"To gain in-depth knowledge of my field","University reputation",NA,NA,"Abroad","70.000–99.999","Hybrid",4,3,3,2,3,5,2,2,2,2,"4.0","2.0","3.0","5 (Least important)","1 (Most important)"
1762196532.086,"Türkçe -Turkish","Mechanical Engineering","No","3rd year","21–23","Female","2.01–2.5","No",2,3,3,"Rarely","Somewhat active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"Academic career goal","Location (country / city)",NA,NA,"In Turkey – international company","70.000–99.999","Hybrid",3,2,1,2,4,4,3,3,3,4,"4.0","2.0","3.0","5 (Least important)","1 (Most important)"
1762198916.248,"Türkçe -Turkish","Computer Engineering","No","2nd year","18–20","Male","3.51–4.0","No",3,3,4,"Sometimes","Somewhat active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"To gain in-depth knowledge of my field","University reputation",NA,NA,"In Turkey – international company","50.000–69.999","Hybrid",2,4,4,1,4,5,3,3,2,2,"5 (Least important)","2.0","1 (Most important)","3.0","4.0"
1762199214.792,"Türkçe -Turkish","Computer Engineering","No","3rd year","21–23","Male","2.51–3.0","No",3,3,4,"Never","Somewhat active","Start a full-time job",NA,NA,NA,NA,4,"Probably yes",NA,NA,NA,NA,"In Turkey – international company","70.000–99.999","Hybrid",4,4,3,3,4,4,3,3,4,3,"4.0","1 (Most important)","5 (Least important)","3.0","2.0"
1762201298.194,"Türkçe -Turkish","Physics","No","1st year","18–20","Female","0–2.0","No",4,4,4,"Sometimes","Somewhat active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"To gain experience abroad","University reputation",NA,NA,"Abroad","Prefer not to say","In-office",3,3,2,2,4,5,1,4,3,3,"4.0","2.0","1 (Most important)","3.0","5 (Least important)"
1762201384.723,"Türkçe -Turkish","Petroleum and Natural Gas Engineering","No","3rd year","24 and over","Male","0–2.0","No",1,1,3,"Sometimes","Rarely active","Start a full-time job",NA,NA,NA,NA,2,"Yes",NA,NA,NA,NA,"In Turkey – local company","70.000–99.999","Hybrid",4,3,4,1,5,5,5,3,5,5,"5 (Least important)","4.0","3.0","2.0","1 (Most important)"
1762201620.004,"Türkçe -Turkish","History","No","3rd year","24 and over","Male","3.01–3.5","No",2,1,1,"Rarely","Rarely active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"Academic career goal","University reputation",NA,NA,"In Turkey – local company","<30.000","In-office",4,2,1,4,4,3,2,3,4,3,"4.0","2.0","5 (Least important)","1 (Most important)","3.0"
1762201641.925,"Türkçe -Turkish","Statistics","No","3rd year","18–20","Female","3.01–3.5","No",2,2,3,"Rarely","Very active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"To gain experience abroad","Scholarship / financial support",NA,NA,"Abroad","50.000–69.999","Hybrid",4,5,1,4,3,5,4,3,4,4,"1 (Most important)","2.0","5 (Least important)","3.0","4.0"
1762201652.882,"Türkçe -Turkish","Computer Engineering","No","1st year","18–20","Male","3.01–3.5","No",1,4,3,"Often","Somewhat active","Askerliğimi yapmak",NA,NA,NA,NA,NA,NA,NA,NA,4,"Immediately after graduation","In Turkey – local company","<30.000","Hybrid",5,5,1,5,2,3,3,2,5,5,"3.0","2.0","5 (Least important)","1 (Most important)","4.0"
1762202418.752,"Türkçe -Turkish","Computer Engineering","No","3rd year","21–23","Female","3.01–3.5","No",4,4,4,"Sometimes","Active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"To gain a competitive advantage in the job market","Job opportunities",NA,NA,"Abroad","100.000+","Hybrid",5,2,3,4,4,5,5,2,5,5,"3.0","2.0","4.0","1 (Most important)","5 (Least important)"
1762202423.383,"Türkçe -Turkish","Electrical and Electronics Engineering","No","3rd year","21–23","Male","2.01–2.5","No",4,4,5,"Sometimes","Somewhat active","Start a full-time job",NA,NA,NA,NA,4,"Probably yes",NA,NA,NA,NA,"Abroad","70.000–99.999","In-office",5,2,2,1,2,5,4,4,4,2,"4.0","5 (Least important)","3.0","2.0","1 (Most important)"
1762202924.289,"Türkçe -Turkish","Statistics","No","2nd year","21–23","Female","2.51–3.0","No",2,2,2,"Often","Very active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"To gain experience abroad","University reputation",NA,NA,"Abroad","50.000–69.999","Hybrid",5,4,1,2,5,5,5,4,2,5,"2.0","1 (Most important)","5 (Least important)","3.0","4.0"
1762203206.709,"Türkçe -Turkish","International Relations","No","3rd year","21–23","Female","3.01–3.5","No",3,2,4,"Often","Active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"Academic career goal","University reputation",NA,NA,"Abroad","70.000–99.999","Hybrid",3,3,2,2,3,5,2,4,2,2,"3.0","4.0","2.0","5 (Least important)","1 (Most important)"
1762205099.873,"Türkçe -Turkish","Mechanical Engineering","No","3rd year","21–23","Male","3.01–3.5","No",3,3,5,"Sometimes","Active","Start a full-time job",NA,NA,NA,NA,5,"Yes",NA,NA,NA,NA,"Abroad","70.000–99.999","In-office",3,2,1,2,1,4,5,5,1,3,"1 (Most important)","2.0","3.0","5 (Least important)","4.0"
1762205775.241,"Türkçe -Turkish","Mechanical Engineering","No","3rd year","21–23","Male","3.51–4.0","No",3,3,4,"Rarely","Rarely active","Start a full-time job",NA,NA,NA,NA,5,"Yes",NA,NA,NA,NA,"I don't know","70.000–99.999","In-office",4,4,5,1,2,5,5,5,5,2,"1 (Most important)","5 (Least important)","3.0","2.0","4.0"
1762207262.492,"Türkçe -Turkish","Biology","No","2nd year","18–20","Female","3.01–3.5","No",3,4,5,"Sometimes","Active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"To gain in-depth knowledge of my field","Job opportunities",NA,NA,"In Turkey – international company","70.000–99.999","In-office",4,3,3,2,4,5,3,3,4,2,"2.0","1 (Most important)","3.0","4.0","5 (Least important)"
1762208332.077,"Türkçe -Turkish","Mathematics Education","Yes, minor","4th year","24 and over","Female","3.51–4.0","Yes, part-time",4,3,5,"Often","Somewhat active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"To gain in-depth knowledge of my field","Job opportunities",NA,NA,"Abroad","70.000–99.999","Hybrid",4,1,2,3,4,5,4,3,3,1,"5 (Least important)","4.0","2.0","3.0","1 (Most important)"
1762208727.419,"Türkçe -Turkish","Electrical and Electronics Engineering","No","1st year","Under 18","Male","3.51–4.0","No",4,4,5,"Sometimes","Rarely active","Start my own business",NA,NA,"Yatırımcılar veya girişim sermayesiyle","Manufacturing / Engineering",NA,NA,NA,NA,NA,NA,"Own business","70.000–99.999","Hybrid",5,3,2,2,4,4,5,4,3,3,"2.0","1 (Most important)","3.0","4.0","5 (Least important)"
1762209434.699,"Türkçe -Turkish","Physics","No","3rd year","21–23","Male","2.51–3.0","No",2,4,3,"Rarely","Not active at all","No plan",NA,NA,NA,NA,NA,NA,NA,NA,1,"Not sure yet","Abroad","Prefer not to say","Hybrid",2,3,2,3,4,5,5,4,4,3,"1 (Most important)","4.0","5 (Least important)","3.0","2.0"
1762209601.026,"Türkçe -Turkish","English Language Teaching","No","Preparatory","Under 18","Female","3.51–4.0","Yes, part-time",5,5,5,"Sometimes","Active","Start a full-time job",NA,NA,NA,NA,4,"Probably yes",NA,NA,NA,NA,"Abroad","30.000–49.999","Hybrid",4,3,3,3,5,5,5,3,3,4,"1 (Most important)","2.0","5 (Least important)","3.0","4.0"
1762209965.419,"Türkçe -Turkish","Psychology","Yes, double major","2nd year","18–20","Male","3.01–3.5","Yes, part-time",3,3,5,"Often","Very active","Take a gap year",5,"Travel / cultural exchange",NA,NA,NA,NA,NA,NA,NA,NA,"Abroad","70.000–99.999","In-office",5,4,4,5,4,4,4,5,5,4,"1 (Most important)","2.0","3.0","4.0","5 (Least important)"
1762210729.243,"Türkçe -Turkish","Physics","No","2nd year","21–23","Male","2.01–2.5","No",2,2,3,"Never","Not active at all","Start a full-time job",NA,NA,NA,NA,1,"Probably yes",NA,NA,NA,NA,"In Turkey – local company","50.000–69.999","Fully remote",2,2,1,3,5,3,5,5,5,4,"4.0","2.0","3.0","5 (Least important)","1 (Most important)"
1762211103.075,"Türkçe -Turkish","Geological Engineering","No","1st year","21–23","Female","0–2.0","No",2,3,4,"Rarely","Somewhat active","Start a full-time job",NA,NA,NA,NA,4,"Probably no",NA,NA,NA,NA,"In Turkey – local company","70.000–99.999","In-office",5,2,5,2,2,4,3,2,4,3,"1 (Most important)","2.0","4.0","3.0","5 (Least important)"
1762249065.383,"Türkçe -Turkish","Electrical and Electronics Engineering","No","3rd year","21–23","Female","3.51–4.0","No",3,3,5,"Sometimes","Rarely active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"To gain in-depth knowledge of my field","Job opportunities",NA,NA,"Own business","70.000–99.999","Hybrid",2,4,4,2,5,5,3,4,1,1,"5 (Least important)","1 (Most important)","2.0","3.0","4.0"
1762249633.74,"Türkçe -Turkish","Chemistry Education","No","3rd year","21–23","Female","2.01–2.5","No",3,2,3,"Rarely","Not active at all","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"To gain in-depth knowledge of my field","Location (country / city)",NA,NA,"I don't know","50.000–69.999","Hybrid",3,4,1,3,4,5,5,5,4,3,"1 (Most important)","2.0","3.0","5 (Least important)","4.0"
1762250035.595,"Türkçe -Turkish","International Relations","No","4th year","21–23","Female","2.51–3.0","No",1,2,4,"Very often","Very active","Start a full-time job",NA,NA,NA,NA,4,"Probably no",NA,NA,NA,NA,"In Turkey – international company","30.000–49.999","Hybrid",3,4,1,1,5,3,2,5,2,2,"3.0","4.0","2.0","5 (Least important)","1 (Most important)"
