"Timestamp","Bu formu hangi dilde doldurmak istersiniz?
Which language would you like to complete this form in?","1-Lütfen okuduğunuz bölümün veya anadalınızın adını seçiniz. (Eğer çift anadal yapıyorsanız, ana bölümünüzü belirtiniz.)","2- Şu anda çift anadal veya yandal programına kayıtlı mısınız?","3- Şu anda hangi sınıf düzeyindesiniz?","4-Lütfen yaş aralığınızı belirtiniz.","5-Cinsiyet kimliğinizi aşağıdakilerden hangisi en iyi tanımlar?","6-Lütfen güncel genel not ortalamanızı (4.00 üzerinden) belirtiniz.","7-Şu anda herhangi bir işte, stajda veya serbest (freelance) pozisyonda çalışıyor musunuz?","8-Üniversite eğitimimin beni işe yeterince hazırladığını düşünüyorum. (1 = Kesinlikle katılmıyorum → 5 = Tamamen katılıyorum)
","9-Üniversitemdeki kariyerle ilgili desteklerden ve kaynaklardan memnunum. (1 = Kesinlikle katılmıyorum → 5 = Tamamen katılıyorum)
","10-Mesleki ve teknik becerilerime (programlama, iletişim, ekip çalışması vb.) güveniyorum.
","11-Beceri geliştirme etkinliklerine (kurs, atölye, sertifika, yarışma vb.) ne sıklıkla katılıyorsunuz?
","12-Profesyonel bağlantı kurma konusunda (etkinlikler, LinkedIn, mentorluk vb.) ne kadar aktifsiniz?
","13-Mezuniyet sonrası öncelikli planınız nedir?
","14-Bu boş yılın (gap year) gelecekteki kariyerinize veya eğitiminize faydalı olacağından ne kadar eminsiniz?","15-Boş yılınız (gap year) boyunca ne yapmayı planlıyorsunuz?","14-İşinizi nasıl finanse etmeyi planlıyorsunuz?","15-İşinizi hangi sektörde kurmayı planlıyorsunuz?(Size uygun olan tüm seçenekleri seçiniz.)","14-Mezuniyetten sonraki 6 ay içinde iş bulma konusunda kendinize güveniniz:
","15-Bölümünüzle doğrudan ilgili bir alanda çalışmayı planlıyor musunuz?","14-Yüksek lisans veya doktora yapmayı istemenizin başlıca nedeni nedir?","15-Program seçiminde sizin için en önemli etken hangisidir?","14-Bu planınızdan ne kadar eminsiniz? (1 = Hiç emin değilim / 5 = Tamamen eminim)","15-Bu planınızı ne zaman uygulamaya başlamayı planlıyorsunuz?","16-Beş yıl sonra nerede çalışmayı hedefliyorsunuz?","17-İlk tam zamanlı işinizde beklediğiniz net aylık maaş nedir (TL)? Lütfen yaklaşık bir aralık belirtiniz.","18- Gelecekteki işiniz için hangi çalışma tarzını tercih edersiniz?","19-İş seçimimde en önemli etkenin maddi güvenlik olduğunu düşünüyorum. (1 = Kesinlikle katılmıyorum → 5 = Tamamen katılıyorum)
","20-İlk işimde üç yıldan az çalışmayı bekliyorum. (1 = Kesinlikle katılmıyorum → 5 = Tamamen katılıyorum)
","21-Sadece diplomamın iyi bir iş bulmam için yeterli olacağını düşünüyorum. (1 = Kesinlikle katılmıyorum → 5 = Tamamen katılıyorum)","22- İyi bir yaşam standardı sürdürebilmek için ikinci bir işe ihtiyaç duyabileceğimi düşünüyorum. (1 = Kesinlikle katılmıyorum → 5 = Tamamen katılıyorum)","23- Bir işte esnek çalışma imkânına (uzaktan çalışma, esnek saatler gibi) sahip olmak benim için önceliklidir. (1 = Kesinlikle katılmıyorum → 5 = Tamamen katılıyorum)","24-Yurtdışında çalışma fırsatlarını değerlendirmeye açık olduğumu düşünüyorum. (1 = Kesinlikle katılmıyorum → 5 = Tamamen katılıyorum)
","25- İş–yaşam dengesinin kariyer prestijinden daha önemli olduğunu düşünüyorum. (1 = Kesinlikle katılmıyorum → 5 = Tamamen katılıyorum)
","26-Değerlerimle uyumlu bir iş için daha düşük bir maaşı kabul edebilirim. (1 = Kesinlikle katılmıyorum → 5 = Tamamen katılıyorum)","27- Yüksek bir gelir düzeyi için haftada 40 saatten fazla çalışmam gerektiğini düşünüyorum. (1 = Kesinlikle katılmıyorum → 5 = Tamamen katılıyorum)","28-Uzun vadeli kariyer başarımın çalışkanlıktan çok şansa bağlı olduğunu düşünüyorum. (1 = Kesinlikle katılmıyorum → 5 = Tamamen katılıyorum)","29- Aşağıdaki faktörleri 1 (En önemli)’den 5 (En az önemli)’ye kadar önceliklerinize göre sıralayınız. Her sayı yalnızca bir kez kullanılabilir. [ İş–yaşam dengesi]","29- Aşağıdaki faktörleri 1 (En önemli)’den 5 (En az önemli)’ye kadar önceliklerinize göre sıralayınız. Her sayı yalnızca bir kez kullanılabilir. [ Yüksek maaş ve ek olanaklar]","29- Aşağıdaki faktörleri 1 (En önemli)’den 5 (En az önemli)’ye kadar önceliklerinize göre sıralayınız. Her sayı yalnızca bir kez kullanılabilir. [ Anlamlı iş (toplumsal katkı)]","29- Aşağıdaki faktörleri 1 (En önemli)’den 5 (En az önemli)’ye kadar önceliklerinize göre sıralayınız. Her sayı yalnızca bir kez kullanılabilir. [İş güvencesi]","29- Aşağıdaki faktörleri 1 (En önemli)’den 5 (En az önemli)’ye kadar önceliklerinize göre sıralayınız. Her sayı yalnızca bir kez kullanılabilir. [ Otonomi ve bağımsızlık]"
2025-11-03 16:02:36.909,"Türkçe -Turkish","Matematik","Evet, çift anadal yapıyorum","3. sınıf","21–23","Erkek","3.51–4.0","Hayır",1,1,4,"Hiçbir zaman","Nadiren aktifim","Tam zamanlı işe başlamak",NA,NA,NA,NA,1,"Muhtemelen hayır",NA,NA,NA,NA,"Yurtdışında","<30.000","Ofiste",5,1,1,5,3,5,4,4,5,3,"4.0","2.0","3.0","1 (En önemli)","5 (En az önemli)"
2025-11-03 16:07:31.982,"Türkçe -Turkish","Havacılık ve Uzay Mühendisliği","Hayır","3. sınıf","21–23","Erkek","3.01–3.5","Hayır",3,2,4,"Sık sık","Nadiren aktifim","Tam zamanlı işe başlamak",NA,NA,NA,NA,4,"Muhtemelen evet",NA,NA,NA,NA,"Türkiye’de – uluslararası firma","50.000–69.999","Hibrit",4,2,1,2,3,4,4,2,4,3,"1 (En önemli)","2.0","4.0","3.0","5 (En az önemli)"
2025-11-03 16:08:15.757,"Türkçe -Turkish","Matematik","Hayır","4. sınıf","24 ve üzeri","Erkek","3.01–3.5","Evet, stajyer olarak",3,3,3,"Sık sık","Ara sıra aktifim","Yüksek lisans veya doktora yapmak",NA,NA,NA,NA,NA,NA,"Şahsi tatmin","Üniversitenin itibarı",NA,NA,"Bilmiyorum","30.000–49.999","Tamamen uzaktan",3,5,2,3,4,4,5,4,3,4,"1 (En önemli)","2.0","5 (En az önemli)","3.0","4.0"
2025-11-03 16:23:20.262,"Türkçe -Turkish","İnşaat Mühendisliği","Hayır","3. sınıf","21–23","Erkek","3.01–3.5","Hayır",4,4,4,"Hiçbir zaman","Nadiren aktifim","Yüksek lisans veya doktora yapmak",NA,NA,NA,NA,NA,NA,"İş piyasasında rekabet avantajı elde etmek","Üniversitenin itibarı",NA,NA,"Türkiye’de – uluslararası firma","50.000–69.999","Hibrit",3,4,2,2,5,5,4,3,3,3,"3.0","1 (En önemli)","4.0","2.0","5 (En az önemli)"
2025-11-03 16:39:49.537,"Türkçe -Turkish","Matematik","Hayır","3. sınıf","21–23","Kadın","3.51–4.0","Hayır",2,2,3,"Ara sıra","Hiç aktif değilim","Yüksek lisans veya doktora yapmak",NA,NA,NA,NA,NA,NA,"Akademik kariyer hedefi (araştırma / öğretim üyesi olmak)","Üniversitenin itibarı",NA,NA,"Yurtdışında","30.000–49.999","Ofiste",3,3,3,2,4,5,4,4,2,3,"3.0","4.0","2.0","5 (En az önemli)","1 (En önemli)"
2025-11-03 16:40:20.557,"Türkçe -Turkish","Bilgisayar Mühendisliği","Hayır","1. sınıf","18–20","Erkek","3.01–3.5","Hayır",1,3,3,"Nadiren","Hiç aktif değilim","Yüksek lisans veya doktora yapmak",NA,NA,NA,NA,NA,NA,"Alanımı derinlemesine öğrenmek","Konum (ülke / şehir)",NA,NA,"Bilmiyorum","Belirtmek istemiyorum","Hibrit",2,2,4,3,4,2,2,3,2,4,"4.0","3.0","5 (En az önemli)","2.0","1 (En önemli)"
2025-11-03 16:40:47.315,"Türkçe -Turkish","Fizik","Hayır","3. sınıf","21–23","Erkek","2.51–3.0","Hayır",3,2,2,"Nadiren","Hiç aktif değilim","Tam zamanlı işe başlamak",NA,NA,NA,NA,3,"Evet",NA,NA,NA,NA,"Bilmiyorum","30.000–49.999","Hibrit",2,3,2,2,4,4,4,5,2,2,"1 (En önemli)","3.0","2.0","4.0","5 (En az önemli)"
2025-11-03 16:45:06.723,"Türkçe -Turkish","Bilgisayar Mühendisliği","Hayır","3. sınıf","21–23","Erkek","3.01–3.5","Hayır",5,5,5,"Nadiren","Ara sıra aktifim","Yüksek lisans veya doktora yapmak",NA,NA,NA,NA,NA,NA,"Yurtdışında deneyim kazanmak","Üniversitenin itibarı",NA,NA,"Yurtdışında","70.000–99.999","Hibrit",5,4,3,2,5,5,5,3,5,4,"3.0","1 (En önemli)","4.0","2.0","5 (En az önemli)"
2025-11-03 16:45:35.818,"Türkçe -Turkish","Gıda Mühendisliği","Hayır","1. sınıf","21–23","Erkek","0–2.0","Hayır",3,4,4,"Ara sıra","Sık aktifim","Kendi işimi kurmak",NA,NA,"Henüz emin değilim","Gıda / Turizm / Perakende",NA,NA,NA,NA,NA,NA,"Kendi işimde","30.000–49.999","Hibrit",4,3,1,2,3,5,3,2,3,3,"4.0","5 (En az önemli)","1 (En önemli)","3.0","2.0"
2025-11-03 16:51:52.863,"Türkçe -Turkish","Bilgisayar Mühendisliği","Hayır","1. sınıf","18–20","Erkek","3.51–4.0","Hayır",2,4,2,"Ara sıra","Hiç aktif değilim","Yüksek lisans veya doktora yapmak",NA,NA,NA,NA,NA,NA,"Yurtdışında deneyim kazanmak","Üniversitenin itibarı",NA,NA,"Türkiye’de – uluslararası firma","50.000–69.999","Hibrit",4,5,2,2,4,4,4,3,3,4,"4.0","3.0","1 (En önemli)","5 (En az önemli)","2.0"
2025-11-03 16:51:56.81,"Türkçe -Turkish","Bilgisayar Mühendisliği","Hayır","3. sınıf","21–23","Kadın","3.51–4.0","Evet, yarı zamanlı",2,1,3,"Nadiren","Ara sıra aktifim","Ara yıl (gap year) vermek",1,"Seyahat / kültürel değişim",NA,NA,NA,NA,NA,NA,NA,NA,"Yurtdışında","70.000–99.999","Hibrit",3,5,1,1,4,5,5,2,1,3,"1 (En önemli)","3.0","5 (En az önemli)","4.0","2.0"
2025-11-03 16:52:55.883,"Türkçe -Turkish","Bilgisayar Mühendisliği","Hayır","3. sınıf","21–23","Kadın","2.51–3.0","Hayır",3,3,3,"Ara sıra","Nadiren aktifim","Tam zamanlı işe başlamak",NA,NA,NA,NA,4,"Evet",NA,NA,NA,NA,"Yurtdışında","100.000+","Ofiste",4,4,3,2,5,5,5,5,5,5,"5 (En az önemli)","3.0","2.0","4.0","1 (En önemli)"
2025-11-03 16:53:53.466,"Türkçe -Turkish","Bilgisayar Mühendisliği","Hayır","2. sınıf","18–20","Erkek","3.01–3.5","Hayır",2,1,2,"Ara sıra","Ara sıra aktifim","Yüksek lisans veya doktora yapmak",NA,NA,NA,NA,NA,NA,"Alanımı derinlemesine öğrenmek","Hepsi",NA,NA,"Yurtdışında","70.000–99.999","Hibrit",4,4,2,1,2,4,3,3,3,4,"3.0","4.0","2.0","1 (En önemli)","5 (En az önemli)"
2025-11-03 17:00:56.032,"Türkçe -Turkish","Şehir ve Bölge Planlama","Evet, yandal yapıyorum","1. sınıf","18 yaş altı","Kadın","2.01–2.5","Evet, yarı zamanlı",2,1,5,"Nadiren","Nadiren aktifim","Kendi işimi kurmak",NA,NA,"Kişisel birikimlerimle","Eğitim / Öğretim",NA,NA,NA,NA,NA,NA,"Türkiye’de – yerel firma","30.000–49.999","Ofiste",2,4,2,4,2,1,5,1,4,3,"1 (En önemli)","2.0","3.0","5 (En az önemli)","4.0"
2025-11-03 17:07:16.63,"Türkçe -Turkish","Tarih","Hayır","3. sınıf","21–23","Kadın","2.51–3.0","Hayır",2,3,3,"Hiçbir zaman","Hiç aktif değilim","Tam zamanlı işe başlamak",NA,NA,NA,NA,3,"Muhtemelen hayır",NA,NA,NA,NA,"Bilmiyorum","30.000–49.999","Hibrit",4,2,2,1,4,3,4,2,3,3,"5 (En az önemli)","3.0","1 (En önemli)","4.0","2.0"
2025-11-03 17:31:38.328,"Türkçe -Turkish","Matematik","Evet, yandal yapıyorum","3. sınıf","21–23","Erkek","2.51–3.0","Hayır",4,2,4,"Ara sıra","Nadiren aktifim","Yüksek lisans veya doktora yapmak",NA,NA,NA,NA,NA,NA,"Akademik kariyer hedefi (araştırma / öğretim üyesi olmak)","Üniversitenin itibarı",NA,NA,"Yurtdışında","100.000+","Hibrit",2,2,1,4,5,5,1,4,4,3,"3.0","5 (En az önemli)","2.0","4.0","1 (En önemli)"
2025-11-03 17:33:32.578,"Türkçe -Turkish","Tarih","Hayır","2. sınıf","21–23","Kadın","2.51–3.0","Hayır",2,3,4,"Nadiren","Hiç aktif değilim","Yüksek lisans veya doktora yapmak",NA,NA,NA,NA,NA,NA,"Akademik kariyer hedefi (araştırma / öğretim üyesi olmak)","İş olanakları",NA,NA,"Türkiye’de – uluslararası firma","Belirtmek istemiyorum","Hibrit",4,3,1,3,3,5,3,3,3,2,"4.0","5 (En az önemli)","3.0","1 (En önemli)","2.0"
2025-11-03 17:34:54.295,"Türkçe -Turkish","İktisat","Hayır","3. sınıf","21–23","Erkek","2.01–2.5","Hayır",2,2,3,"Ara sıra","Çok aktifim","Tam zamanlı işe başlamak",NA,NA,NA,NA,5,"Evet",NA,NA,NA,NA,"Türkiye’de – uluslararası firma","70.000–99.999","Hibrit",4,4,2,1,5,5,4,3,4,1,"2.0","1 (En önemli)","5 (En az önemli)","3.0","4.0"
2025-11-03 17:44:57.407,"Türkçe -Turkish","Elektrik ve Elektronik Mühendisliği","Hayır","2. sınıf","21–23","Erkek","3.51–4.0","Hayır",2,3,4,"Hiçbir zaman","Nadiren aktifim","Yüksek lisans veya doktora yapmak",NA,NA,NA,NA,NA,NA,"Alanımı derinlemesine öğrenmek","Üniversitenin itibarı",NA,NA,"Yurtdışında","70.000–99.999","Hibrit",4,3,4,1,4,5,5,3,2,2,"2.0","3.0","5 (En az önemli)","4.0","1 (En önemli)"
2025-11-03 18:48:35.666,"Türkçe -Turkish","Tarih","Hayır","3. sınıf","18–20","Kadın","3.01–3.5","Hayır",4,1,5,"Nadiren","Nadiren aktifim","Yüksek lisans veya doktora yapmak",NA,NA,NA,NA,NA,NA,"Akademik kariyer hedefi (araştırma / öğretim üyesi olmak)","Üniversitenin itibarı",NA,NA,"Türkiye’de – yerel firma","<30.000","Ofiste",4,3,2,2,1,1,4,2,3,1,"4.0","2.0","3.0","1 (En önemli)","5 (En az önemli)"
2025-11-03 18:49:57.572,"Türkçe -Turkish","Tarih","Hayır","3. sınıf","21–23","Kadın","3.51–4.0","Hayır",3,3,5,"Ara sıra","Ara sıra aktifim","Emin değilim",NA,NA,NA,NA,NA,NA,NA,NA,3,"Henüz emin değilim","Kendi işimde","70.000–99.999","Ofiste",3,2,3,2,2,3,2,3,2,3,"1 (En önemli)","3.0","2.0","4.0","5 (En az önemli)"
2025-11-03 18:54:38.336,"Türkçe -Turkish","Moleküler Biyoloji ve Genetik","Hayır","Mezun","24 ve üzeri","Kadın","3.01–3.5","Evet, yarı zamanlı",2,2,4,"Nadiren","Ara sıra aktifim","Ara yıl (gap year) vermek",4,"Yukarıdakilerin hepsini yapıyorum",NA,NA,NA,NA,NA,NA,NA,NA,"Yurtdışında","30.000–49.999","Ofiste",4,2,2,4,4,5,4,3,4,2,"1 (En önemli)","2.0","4.0","3.0","5 (En az önemli)"
2025-11-03 18:56:45.025,"Türkçe -Turkish","Siyaset Bilimi ve Kamu Yönetimi","Evet, yandal yapıyorum","3. sınıf","21–23","Kadın","3.51–4.0","Hayır",1,1,3,"Sık sık","Nadiren aktifim","Tam zamanlı işe başlamak",NA,NA,NA,NA,4,"Hayır",NA,NA,NA,NA,"Türkiye’de – uluslararası firma","50.000–69.999","Hibrit",3,3,1,1,4,2,4,2,3,5,"5 (En az önemli)","4.0","1 (En önemli)","2.0","3.0"
2025-11-03 18:58:05.264,"Türkçe -Turkish","Endüstri Mühendisliği","Hayır","4. sınıf","21–23","Kadın","3.01–3.5","Hayır",3,3,4,"Ara sıra","Ara sıra aktifim","Yüksek lisans veya doktora yapmak",NA,NA,NA,NA,NA,NA,"Alanımı derinlemesine öğrenmek","Üniversitenin itibarı",NA,NA,"Yurtdışında","70.000–99.999","Hibrit",4,3,3,2,3,5,2,2,2,2,"4.0","2.0","3.0","5 (En az önemli)","1 (En önemli)"
2025-11-03 19:02:12.086,"Türkçe -Turkish","Makina Mühendisliği","Hayır","3. sınıf","21–23","Kadın","2.01–2.5","Hayır",2,3,3,"Nadiren","Ara sıra aktifim","Yüksek lisans veya doktora yapmak",NA,NA,NA,NA,NA,NA,"Akademik kariyer hedefi (araştırma / öğretim üyesi olmak)","Konum (ülke / şehir)",NA,NA,"Türkiye’de – uluslararası firma","70.000–99.999","Hibrit",3,2,1,2,4,4,3,3,3,4,"4.0","2.0","3.0","5 (En az önemli)","1 (En önemli)"
2025-11-03 19:41:56.248,"Türkçe -Turkish","Bilgisayar Mühendisliği","Hayır","2. sınıf","18–20","Erkek","3.51–4.0","Hayır",3,3,4,"Ara sıra","Ara sıra aktifim","Yüksek lisans veya doktora yapmak",NA,NA,NA,NA,NA,NA,"Alanımı derinlemesine öğrenmek","Üniversitenin itibarı",NA,NA,"Türkiye’de – uluslararası firma","50.000–69.999","Hibrit",2,4,4,1,4,5,3,3,2,2,"5 (En az önemli)","2.0","1 (En önemli)","3.0","4.0"
